 timeStep;vegDensity;totalET;totalBE;totalStore; totalDischarge; totalOutflow;
  1;  0.937500E-01;      1303;      1298;      3863;     36997;1605939384;
  2;  0.125000E+00;      4940;      1408;      3979;     39736;1605939384;
  3;  0.687500E+00;      7442;       894;      2107;     10659;1605939384;
  4;  0.390625E+00;      3470;      1243;      3858;     28540;1605939384;
  5;  0.703125E+00;      5375;      1130;      3817;     19312;1605939384;
  6;  0.100000E+01;      5541;      1053;      3687;     15189;1605939384;
  7;  0.117188E+01;      5649;      1067;      3435;     15147;1605939384;
  8;  0.125000E+01;      5845;      1017;      3037;     14976;1605939384;
  9;  0.139062E+01;      5405;      1035;      3061;     15818;1605939384;
 10;  0.148438E+01;      5097;      1106;      3322;     18274;1605939384;
