 timeStep;vegDensity;totalET;totalBE;totalStore; totalDischarge; totalOutflow;
  1;  0.101000E+00;    219063;    205620;    575317;   5518150;         0;
  2;  0.175600E+00;    615121;    206391;    753805;   5826692;         0;
  3;  0.655900E+00;    983054;    156176;    539335;   2276207;         0;
  4;  0.677000E+00;    824176;    154062;    557977;   2723711;         0;
  5;  0.636600E+00;    835887;    147662;    556788;   2553336;         0;
  6;  0.525000E+00;    747498;    160108;    630582;   3200854;         0;
  7;  0.581600E+00;    810724;    153025;    623873;   2781924;         0;
  8;  0.567200E+00;    781013;    156716;    653264;   2960023;         0;
  9;  0.590600E+00;    817396;    154135;    642253;   2783457;         0;
 10;  0.596100E+00;    798499;    155793;    652201;   2853533;         0;
 11;  0.614100E+00;    811995;    152982;    647024;   2778470;         0;
 12;  0.597800E+00;    796418;    154099;    662307;   2825644;         0;
 13;  0.584500E+00;    793582;    154907;    681298;   2879907;         0;
 14;  0.602600E+00;    800279;    153482;    689017;   2808564;         0;
 15;  0.596100E+00;    802740;    154139;    693018;   2840566;         0;
 16;  0.597200E+00;    802502;    153008;    698868;   2835712;         0;
 17;  0.595700E+00;    792638;    153653;    710097;   2837745;         0;
 18;  0.598200E+00;    803389;    153931;    712217;   2837707;         0;
 19;  0.604800E+00;    801905;    153317;    714635;   2804714;         0;
 20;  0.600800E+00;    805938;    153102;    717075;   2808489;         0;
 21;  0.596200E+00;    796675;    152337;    730023;   2802914;         0;
 22;  0.582200E+00;    790796;    154454;    746013;   2875987;         0;
 23;  0.595900E+00;    800971;    153976;    746306;   2827403;         0;
 24;  0.603400E+00;    800504;    152723;    752999;   2804130;         0;
 25;  0.602200E+00;    799643;    154179;    760537;   2845915;         0;
 26;  0.615900E+00;    794906;    152558;    766153;   2814957;         0;
 27;  0.615300E+00;    793904;    154941;    775788;   2831811;         0;
 28;  0.620900E+00;    805998;    153538;    774732;   2821401;         0;
 29;  0.622500E+00;    811540;    152597;    769315;   2780501;         0;
 30;  0.616700E+00;    795726;    152853;    778496;   2800248;         0;
 31;  0.613300E+00;    790912;    154400;    792624;   2838610;         0;
 32;  0.615900E+00;    789132;    154348;    806664;   2846106;         0;
 33;  0.621500E+00;    793230;    154045;    818229;   2824241;         0;
 34;  0.619100E+00;    800428;    153726;    825795;   2824844;         0;
 35;  0.621500E+00;    799776;    152180;    830759;   2772663;         0;
 36;  0.605800E+00;    787969;    154681;    849349;   2864088;         0;
 37;  0.617500E+00;    799380;    153377;    854352;   2804934;         0;
 38;  0.619500E+00;    792886;    152926;    867260;   2812454;         0;
 39;  0.610300E+00;    797635;    155098;    876367;   2848912;         0;
 40;  0.629400E+00;    801309;    153553;    876145;   2789237;         0;
 41;  0.618800E+00;    794153;    152673;    891639;   2791486;         0;
 42;  0.612100E+00;    789019;    154124;    911656;   2860003;         0;
 43;  0.628900E+00;    786941;    154221;    925734;   2828257;         0;
 44;  0.632900E+00;    791012;    153302;    939180;   2804632;         0;
 45;  0.622200E+00;    791644;    155252;    954364;   2850469;         0;
 46;  0.637000E+00;    801706;    153503;    956675;   2799724;         0;
 47;  0.637700E+00;    794267;    152262;    970186;   2776856;         0;
 48;  0.614100E+00;    789010;    154717;    986139;   2843193;         0;
 49;  0.627000E+00;    789601;    153983;    998875;   2827006;         0;
 50;  0.631300E+00;    790843;    153537;   1011415;   2809431;         0;
 51;  0.625000E+00;    794074;    153012;   1024369;   2838187;         0;
 52;  0.636600E+00;    794865;    154189;   1031035;   2803821;         0;
 53;  0.631800E+00;    799973;    154273;   1037429;   2798059;         0;
 54;  0.638900E+00;    794997;    154430;   1050082;   2809161;         0;
 55;  0.651200E+00;    792757;    153347;   1065578;   2796835;         0;
 56;  0.647900E+00;    801603;    154896;   1072599;   2818438;         0;
 57;  0.658600E+00;    804256;    153195;   1079988;   2740438;         0;
 58;  0.653900E+00;    788104;    153938;   1102306;   2823359;         0;
 59;  0.648000E+00;    797666;    154027;   1110893;   2815461;         0;
 60;  0.648600E+00;    794020;    154351;   1124602;   2806608;         0;
 61;  0.645300E+00;    787892;    154362;   1142628;   2830434;         0;
 62;  0.643500E+00;    787589;    154724;   1161555;   2829415;         0;
 63;  0.642300E+00;    791576;    155459;   1176000;   2823349;         0;
 64;  0.659900E+00;    795045;    155037;   1184278;   2788701;         0;
 65;  0.669100E+00;    793439;    154482;   1202637;   2776410;         0;
 66;  0.657200E+00;    790329;    152934;   1222774;   2814452;         0;
 67;  0.641800E+00;    797145;    155014;   1230295;   2827774;         0;
 68;  0.646500E+00;    794489;    154459;   1240907;   2797500;         0;
 69;  0.636400E+00;    790395;    153958;   1259234;   2803243;         0;
 70;  0.646300E+00;    787015;    154177;   1281322;   2821614;         0;
 71;  0.648400E+00;    792573;    154903;   1296526;   2812353;         0;
 72;  0.656800E+00;    792967;    154680;   1310719;   2807395;         0;
 73;  0.656900E+00;    799046;    154865;   1322368;   2812914;         0;
 74;  0.675200E+00;    802786;    154550;   1327352;   2781172;         0;
 75;  0.677000E+00;    797257;    153565;   1341730;   2770050;         0;
 76;  0.666500E+00;    791149;    156055;   1360086;   2834906;         0;
 77;  0.680000E+00;    799203;    154407;   1368196;   2792530;         0;
 78;  0.676200E+00;    797890;    154259;   1381847;   2796624;         0;
 79;  0.679300E+00;    794767;    154247;   1396833;   2789651;         0;
 80;  0.671200E+00;    791277;    154523;   1415153;   2813274;         0;
 81;  0.675600E+00;    788236;    154717;   1433920;   2805580;         0;
 82;  0.666300E+00;    789832;    154796;   1450772;   2825650;         0;
 83;  0.665200E+00;    796039;    153895;   1465558;   2796000;         0;
 84;  0.656700E+00;    788961;    154984;   1482373;   2811468;         0;
 85;  0.656000E+00;    789352;    155090;   1499411;   2820545;         0;
 86;  0.661500E+00;    793745;    154578;   1511848;   2798735;         0;
 87;  0.666600E+00;    793414;    155306;   1524248;   2796522;         0;
 88;  0.672800E+00;    794177;    155339;   1538492;   2793046;         0;
 89;  0.673900E+00;    789961;    154959;   1557092;   2793663;         0;
 90;  0.670900E+00;    792785;    155229;   1572718;   2823752;         0;
 91;  0.682400E+00;    798053;    154454;   1582171;   2755603;         0;
 92;  0.664400E+00;    790858;    154358;   1603715;   2798365;         0;
 93;  0.656800E+00;    788810;    155203;   1622862;   2857513;         0;
 94;  0.670900E+00;    803463;    153656;   1626143;   2759733;         0;
 95;  0.669600E+00;    794808;    154081;   1641974;   2796963;         0;
 96;  0.663200E+00;    791418;    154619;   1658857;   2818455;         0;
 97;  0.667100E+00;    790739;    155194;   1672844;   2821734;         0;
 98;  0.679100E+00;    798123;    154573;   1684628;   2768749;         0;
 99;  0.663300E+00;    793572;    154071;   1705425;   2811069;         0;
100;  0.663500E+00;    788632;    154833;   1722720;   2831834;         0;
